contest_number,image_url,human_description,top_caption_1,top_caption_2,top_caption_3
733,https://nextml.github.io/caption-contest-data/cartoons/733.jpg,"In a pastoral landscape, a large group of sheep stands in a field, all with their arms on their hips and looking angrily at a pair of wolves dressed in suits in the corner. The wolves are discussing something privately, one crossing its arms. ","""It seems you promised them herd immunity, sir.""","""Every time we attempt a recount, we fall asleep.""","""They found out we've been fleecing them."""
734,https://nextml.github.io/caption-contest-data/cartoons/734.jpg,"In a dimly lit bathroom, a man in a suit is tied up with rope, submerged in a cement bucket up to his knees. However, the bucket is in a bathtub filled with water, and the shower is on with the curtain partially drawn. A tough-looking man in a trench coat and fedora, smoking a cigarette, stands outside the tub, observing the scene with a stern expression. The atmosphere is tense and mysterious, reminiscent of a noir film. The tough-looking man is speaking.","Stop fighting it, kid—everyone eventually sings in the shower.","Are you gonna talk, or am I gonna have to flush the toilet again?",I don’t have to. Your neighbor downstairs is going to kill you.
735,https://nextml.github.io/caption-contest-data/cartoons/735.jpg,"A man in a tuxedo looks at a three-tiered wedding cake with a surprised expression. The cake has a face on the bottom tier, and a bride and groom figurine on the top tier. The cake appears to be speaking.",I can keep it together during the ceremony. The reception is where I fall to pieces.,You are a lot bigger in person.,Great wedding—what’s for dessert?
736,https://nextml.github.io/caption-contest-data/cartoons/736.jpg,"Two dinosaurs are standing in a prehistoric landscape. It is a greyscale cartoon, but one of the dinosaurs is wearing a colorful propeller hat, which is spinning. The other dinosaur looks at the hat-wearing dinosaur with a surprised expression. In the background, there are some distant hills. The surprised dinosaur is speaking.",Your meal came with a toy?,Evolve already.,"If that’s a courtship display, I think I know how we go extinct."
737,https://nextml.github.io/caption-contest-data/cartoons/737.jpg,"A young man in a hat is climbing a giant beanstalk that reaches up into the clouds. Above the clouds, a business meeting is taking place with six people seated around a conference table, one of whom is standing and presenting a graph with an upward trend. The beanstalk climber looks surprised and curious as he peeks over the edge of the cloud, observing the meeting. A bald man sitting at the head of the table is speaking.",I thought you said the cloud was secure.,Keep climbing—you’ve only reached middle management.,Growth has exceeded our projections.
738,https://nextml.github.io/caption-contest-data/cartoons/738.jpg,"A man holding a rake stands in a yard, looking up at a UFO hovering above. The UFO is beaming up a pile of leaves, which are floating up in a stream of light. Two aliens are visible inside the UFO, observing the scene. The yard is surrounded by a fence and has several leafless trees. One alien is speaking to the other.",Can’t wait to see the look on his face when we put these back on the tree.,"As long as we’re up here, we should do the gutters.",A friendly gesture can make first contact go a lot better.
739,https://nextml.github.io/caption-contest-data/cartoons/739.jpg,"A man is standing between a grumpy-looking child on his left and a dog dressed in a suit, or child’s button-up, on his right. The man is holding hands with both the child and the dog, who is standing on its hind legs. The child appears upset, while the dog looks content. The man is joyfully speaking to the grumpy boy.","Once tax season is over, you can go back to being the only child.","When you’re best in show, you can have nice clothes, too.",He said you ate his homework.
740,https://nextml.github.io/caption-contest-data/cartoons/740.jpg,"In a china shop filled with delicate plates, teapots, and vases, a large bull stands behind the counter, carefully examining a piece of china. A woman in a coat stands in front of the counter, while two people a man worker and a woman, look on. The worker is speaking to the woman.",You were right—putting him on commission changed his attitude.,He doesn’t charge as much as he used to.,Now he breaks stereotypes instead.
741,https://nextml.github.io/caption-contest-data/cartoons/741.jpg,"A couple stands on a hilltop, each holding a glass of wine, gazing at the night sky. The moon, unusually, has a large, winking face with a smile, adding an absurd and whimsical touch to the serene scene. The couple appears to be in awe or surprise at the sight. The man is speaking.",I think it’s just a phase.,Remind me to close the curtains tonight.,"""Wow, it's a rare full-of-himself moon."""
742,https://nextml.github.io/caption-contest-data/cartoons/742.jpg,"In an art gallery, a man in a chef’s hat and casual clothes is grilling food on a barbecue grill, with condiments and utensils on a small table beside him. A child stands nearby holding a plate with an open bun. In the background, a man in a suit with a badge appears to be Angrily yelling at them. Other visitors are observing the artwork on the walls, seemingly unfazed by the grilling setup.",That’s a rare medium. Well done.,"Fine, but no flash photography.",I could’ve made that!
743,https://nextml.github.io/caption-contest-data/cartoons/743.jpg,"In a living room, a man appears to be getting eaten by a mounted lion’s head in the wall, struggling with his head and arm in its mouth. A woman holding a wine glass stands nearby, looking surprised. The room is cozy with a couch, a lamp, and a window showing a cityscape outside.",Still not level.,"Yes, it does look more realistic that way.",Maybe it would go better in the den.
744,https://nextml.github.io/caption-contest-data/cartoons/744.jpg,"Two dogs, each wearing a cone around their necks, face each other. One dog looks at the other with a curious expression while the other dog, with his cone on backwards, is speaking.",I could never pull that off.,"""You should see how my owner wears his mask.""","""He said I had to wear it. He didn't say how."""
745,https://nextml.github.io/caption-contest-data/cartoons/745.jpg,"In a cityscape, a colossal snail towers over the buildings, its massive shell dwarfing the surrounding structures. A perplexed scientist and a police officer with binoculars stand in the foreground, observing the giant creature. The street below is in disarray, with crushed cars and debris scattered around, indicating the snail's destructive path. The scene is both surreal and chaotic, blending the mundane with the extraordinary. The scientist is speaking to the police officer.",I told you we should have salted the roads.,"Quick, stroll for cover.","If you turn the binoculars around, the problem pretty much goes away."
746,https://nextml.github.io/caption-contest-data/cartoons/746.jpg,"In a prehistoric setting, a caveman couple are interacting. The man stands at the top of a tall, precarious staircase made of large stones, while the woman stands at the bottom with hands on hips, looking up. The landscape is barren with a couple of distant trees and clouds. The woman is speaking.",So that’s where all the furniture went.,Don’t make me come up there.,Just as I thought. There’s nothing going on upstairs.
747,https://nextml.github.io/caption-contest-data/cartoons/747.jpg,"Two women are sitting outside on chairs in a backyard with a fence, bushes, and a house in the background, looking up in surprise at a man who is waving from a parallel, upside-down yard with an upside-down house and fence on the top right of the image. One woman is speaking to the other.",I’m always afraid he will drop in unexpectedly.,"We don’t discuss politics, religion, or gravity.",I just hope they don’t put in a pool.
748,https://nextml.github.io/caption-contest-data/cartoons/748.jpg,"Two chefs in full uniform, including tall hats, stand inside what appears to be a giant sprawling ribcage with a spine going as far as the eye can see . One chef holds a spatula, while the other holds a frying pan. They both have distressed expressions. One chef is speaking to the other.",Not the return to inside dining I was expecting.,I guess it’s just us for dinner.,I don’t like to cook in an empty stomach.
750,https://nextml.github.io/caption-contest-data/cartoons/750.jpg,"Two shaggy dogs are standing in a field behind a group of sheep. The dogs and sheep have similar fluffy appearances, making it difficult to distinguish between them. The dog on the right is speaking to the other dog.","Every night, when I try to sleep, I can’t stop thinking about work.",Half the flock is still grazing remotely.,I think I see the one who’s going to be a problem.
752,https://nextml.github.io/caption-contest-data/cartoons/752.jpg,"Two people with in coats carrying books are walking through a group of animated books with arms, legs, and faces, who stand intimidatingly around the couple. One of the people is nervously speaking to the other.",The classics can be so intimidating.,I wish the library would just go back to charging late fees.,"Normally, I like when books come to life."
753,https://nextml.github.io/caption-contest-data/cartoons/753.jpg,"In a grocery store aisle, a man resembling Captain Ahab from Moby Dick, complete with a long coat, hat, and peg leg, pushes a shopping cart while holding a bag of chips, looking back. Next to him, a massive whale, standing upright and also pushing a shopping cart, looks ahead. Captain Ahab is speaking.","Oh, hey, I almost didn’t recognize you outside of work.",Hit me again with your cart and I’ll hunt you down until the day I die.,"Yeah, well, these are my obsession now."
754,https://nextml.github.io/caption-contest-data/cartoons/754.jpg,"Two firefighters in full gear stand in front of two fire poles going into holes in the ground. One hole is round, but the other, curiously, is square. One firefighter is speaking to the other behind him.",Since when did the pizza delivery guy get his own pole?,Is the fire in Times Square or Columbus Circle?,"Apparently, the one you use says a lot about your personality."
755,https://nextml.github.io/caption-contest-data/cartoons/755.jpg,"In a cave setting, a modern woman sits at a table with a coffee cup, while a caveman stands nearby, looking at her. The cave is sparsely decorated with a single hanging light fixture and a large rock in the background. The caveman is speaking.","If you’re so civilized, why don’t you use a coaster?",I can evolve.,I just can’t get past the difference in our ages.
756,https://nextml.github.io/caption-contest-data/cartoons/756.jpg,"In a psychiatrist's office, a chameleon is lying on a couch with a floral pattern, its skin perfectly mimicking the couch's design. The psychiatrist, an older man with glasses and a bow tie, is sitting in a chair, taking notes on a clipboard. The room has two framed certificates on the wall and a box of tissues on the table. The chameleon appears to be in the middle of a therapy session.","So, you’re saying you didn’t miss your last two appointments?",Hmm. I’m beginning to see a pattern.,Let’s see how you feel on the curtains.
757,https://nextml.github.io/caption-contest-data/cartoons/757.jpg,"A couple is having a picnic on a blanket in a park, with a loaf of bread and some cheese in front of them. Other people are also relaxing in the background. The sky is filled with ominous, dark clouds that have angry, menacing faces and fists, creating a stark contrast to the peaceful scene below. The man in the couple is speaking to the woman, who looks shocked as she gazes at the sky.","Don’t worry, it’s just a front.",I think the weather’s turning on us.,"Apparently, climate change is getting more serious."
758,https://nextml.github.io/caption-contest-data/cartoons/758.jpg,"In a bustling city street scene during Covid, pedestrians wearing face masks walk past a peculiar setup: a woman sitting at a desk at the foot of stairs on the sidewalk, surrounded by papers and a coffee mug, seemingly conducting business or an office meeting. Meanwhile, a person in pajamas stands at the door atop the stairs, observing the unusual outdoor office. The scene is framed by trees and typical urban architecture, with a small car parked on the street. The woman at the desk is speaking to the person at the door.","Honey, can you close the door? I’m in a meeting.",Our company is going public.,I’m working my way to a nice corner office.
759,https://nextml.github.io/caption-contest-data/cartoons/759.jpg,"In an underwater scene, a live fish is swimming and looking at a mounted fish on a wooden plaque, which is also underwater. The mounted fish is speaking, with bubbles coming out of its mouth, visibly upset. In the background, there are schools of smaller fish swimming, and the seabed is dotted with coral and seaweed.",They call it kitsch and release.,I guess it could be worse. Larry got breaded and fried.,I’m a throwback.
760,https://nextml.github.io/caption-contest-data/cartoons/760.jpg,"In a dimly lit restaurant, a couple sits at a table looking displeased. A waiter stands next to them speaking, appearing apologetic. Another waiter in the background is dragging a large trash can through the dining area. ",It’s curb to table.,"I’m sorry, sir, but we do reserve the right to serve refuse to anyone.",Define fresh.
761,https://nextml.github.io/caption-contest-data/cartoons/761.jpg,"In this cartoon, the Grim Reaper, dressed in a dark hooded robe and holding a scythe, is offering a tray of lemons to a man with glasses, who is reaching out to take them. A woman stands nearby, observing the scene with a puzzled expression. The setting appears to be an outdoor park or garden. The man is speaking.",He says making lemonade is not an option.,They can’t be any worse than the ones life gave us.,I do love a good twist.
762,https://nextml.github.io/caption-contest-data/cartoons/762.jpg,"A tortoise and a mouse holding a clipboard are having a conversation in front of three hamster wheels, each occupied by a running hamster. The tortoise appears to be listening attentively to the mouse.",We’re really looking for someone with more lab experience.,Do you have any experience working in a fast-paced environment?,You will still get nowhere—it will just take longer.
763,https://nextml.github.io/caption-contest-data/cartoons/763.jpg,"In a greyscale cartoon, a giant hot dog in color on wheels is parked at a gas station, with a side panel flipped up. The hot dog has a door and windshield. A mechanic holding a clipboard appears to be explaining something to a woman. The gas station has a typical setup with fuel pumps and a convenience store in the background.","So, when did the ‘check mustard’ light come on?",You can use the loaner corn dog while you wait. Can you drive a stick?,"Yeah, they’re great cars, but you don’t want to see how they get made."
764,https://nextml.github.io/caption-contest-data/cartoons/764.jpg,"A hiker with a backpack and a rolled-up sleeping mat is climbing towards a cave entrance high in the mountains. Inside the cave, there is a fishbowl with a fish swimming in it. The hiker looks surprised or intrigued by the sight. The fish is speaking tot the hiker.",I hope you’ve come to change the water.,The key to happiness? A three-second memory span.,"If I had the answers, you think I’d be in this bowl?"
765,https://nextml.github.io/caption-contest-data/cartoons/765.jpg,"A polar bear sits on a small, melting ice floe in the middle of the ocean, looking towards a disheveled bearded man who is stranded on a tiny desert island with a single palm tree. The man, wearing a striped shirt and shorts, stands barefoot on the island, gazing back at the polar bear. The scene is desolate, with a few fish skeletons scattered around the island. The man is speaking to the bear.",I know how you feel. This used to be Florida.,At least you get to travel.,Tell me you’ve already eaten.
766,https://nextml.github.io/caption-contest-data/cartoons/766.jpg,"A woman in a bathrobe stands in a room with a giant vacuum cleaner, its cord trailing across the floor. She looks towards a man in a bathrobe standing in the doorway, who appears angry. The room is sparsely furnished with a couch, a lamp, and a window showing a crescent moon, indicating it's nighttime. The angry neighbor is speaking.",I sent my wife up an hour ago about the noise. Have you seen her?,What a coincidence! I couldn’t sleep either!,Do you mind? I’m trying to play the drums downstairs.
767,https://nextml.github.io/caption-contest-data/cartoons/767.jpg,"A woman is balancing on a unicycle on top of a dining table while juggling a lit torch, a bowling ball, and a chainsaw. She appears focused on her juggling act. A man sits at the table, looking up at her with a calm expression, seemingly unfazed. The woman is speaking.","Now, if you'll just yank away the tablecloth.",I think I got the waiter's attention.,My last boyfriend died in a tragic dining accident.
768,https://nextml.github.io/caption-contest-data/cartoons/768.jpg,"In a whimsical scene set in a hilly, forested landscape, a large dragon and a princess in a medieval dress are intensely engaged in a game of ping pong. The dragon, with a focused expression, holds a paddle in its claw, while the princess, wearing a conical hat, prepares to return the ball. In the background, a knight on horseback, armed with a lance, approaches the scene, seemingly unnoticed by the players. The dragon is speaking.","""Winner gets the knight.""","""Fine, we can play doubles, but I’m not getting stuck with the horse again!""","""You know that, no matter which one of us wins, this won't be how he tells the story."""
769,https://nextml.github.io/caption-contest-data/cartoons/769.jpg,"In a bookstore, a man behind the counter is stacking books while a large, nonchalant alligator lies sprawled across the counter and stacks of books. Another man in a suit stands nearby, observing the scene with a calm expression. The man behind the counter is speaking.","""His favorite book is 'A Farewell to Arms,' so don't get too close.""","""Clyde here handles returns.""","""Go ahead, ask him anything. He's a voracious reader."""
770,https://nextml.github.io/caption-contest-data/cartoons/770.jpg,"Three people are hiking up a mountain trail. Two hikers are dressed in casual outdoor attire and using walking sticks. The third person, however, is dressed in a business suit, carrying a briefcase, and talking on a cell phone. One hiker looks back nervously, while the other is speaking.",I guess I misunderstood when you said your legal problems were behind you.,He’s a trail attorney.,My husband will never find out about us. He’s on a business trip.
771,https://nextml.github.io/caption-contest-data/cartoons/771.jpg,"A group of five people, all wearing headphones and using metal detectors, are searching around a living room around a couple seated on a couch. The couple looks confused, holding a remote control. The woman in the couple is speaking to the man.",Don’t worry about it—I wasn't going to say yes anyway.,"Honey, the remote is in your hand.","You looked under the cushions, right?"
772,https://nextml.github.io/caption-contest-data/cartoons/772.jpg,"In a kitchen at night, a man in a bathrobe stands in front of an open refrigerator, looking at his own ghostly, glowing doppelgänger who is floating horizontally in mid-air. The moon is visible through the window, and the kitchen is filled with typical items like a sink, a plant, and various containers. The ghost is speaking.",This isn’t what I meant when I said to go toward the light.,Turns out expiration dates do matter.,"Oh, go ahead, live a little."
773,https://nextml.github.io/caption-contest-data/cartoons/773.jpg,"An upside-down couple is seated at an upside-down table setting on the ceiling, complete with table cloth and cups. Water is falling from out of their cups, creating a puddle. The scene appears to be indoors with a window showing an upside-down cityscape in the background. The man in the couple is speaking.",We should’ve ordered our drinks straight up.,They forgot the little umbrellas.,These drinks go right to my head.
774,https://nextml.github.io/caption-contest-data/cartoons/774.jpg,"A woman in beach attire sits comfortably on a beach chair, reading a book and holding a pen, with a backpack and rolled-up towel beside her. She looks up at a drenched pirate who stands on the wet sand, dripping water and holding up a finger and speaking. The pirate is dressed in traditional attire, complete with a feathered hat, and appears to have just emerged from the sea. The beach is deserted, with cliffs and trees in the background.","By any chance, are you sitting on a large X?",Did you get my bottle?,I’d like to report a mutiny.
775,https://nextml.github.io/caption-contest-data/cartoons/775.jpg,"Three dinosaurs are playing in a rock band in a prehistoric landscape with volcanoes in the background. One dinosaur is playing a guitar, another is on drums, and the third is on a keyboard. Above them, a large meteor is hurtling towards the earth. The dinosaur with the guitar is speaking.",Can’t believe we’re opening for Genesis.,Face it. It’ll be millions of years before we’re discovered.,They’ll never know what we used our tiny arms for.
776,https://nextml.github.io/caption-contest-data/cartoons/776.jpg,"A mechanic in overalls labeled ""MATT'S GARAGE"" is working on a car elevated on a lift in the middle of a living room. The room is furnished with sofas, a coffee table, lamps, and paintings on the wall. Two women are sitting on the couch, having a conversation and drinking tea, seemingly unfazed by the car repair happening in their living space. Tools and car parts are scattered around the mechanic.",Most people only have roadside assistance.,"He hasn’t proposed yet, but he did give me a written estimate.",I said I wanted it out of the yard.
777,https://nextml.github.io/caption-contest-data/cartoons/777.jpg,"In front of a suburban house, a man in a naval officer's uniform is running a yard sale. Various typical yard sale items like chairs, a bicycle, and a television are displayed. However, the most striking item is a massive submarine parked on the lawn, towering over the house. A potential buyer, dressed casually, is pointing at the submarine while conversing with the officer. The officer is speaking.",It works fine—we’re just no longer a nuclear family.,"Yeah, and you never took a pen home from the office?",A minivan just makes more sense for us right now.
778,https://nextml.github.io/caption-contest-data/cartoons/778.jpg,"A man stands in front of a bulletin board, intensely studying two framed pictures: one of a chicken and the other of an egg. The board is covered with various notes and connecting lines, resembling a detective's investigation board. To the right, two people in business attire, wearing name tags, are engaged in a conversation.","""Don't sell him short. He did solve that crossing-the-road thing.""","""We can't seem to establish a timeline of events.""","""The cold-case squad says the picture on the left is what our killer might look like today."""
779,https://nextml.github.io/caption-contest-data/cartoons/779.jpg,"A man with glasses and a blank expression stands next to a table, looking at a fishbowl. Inside the fishbowl, instead of a fish, there is a small dog sitting and looking up. The dog is speaking.","Technically, the fish is still in the bowl.","At first, I just wanted a sip of water. Then things got out of hand.",I want to speak with my lawyer.
780,https://nextml.github.io/caption-contest-data/cartoons/780.jpg,"In a modern office setting, two men stand near a water cooler, one of them gesturing while explaining something. Nearby, a third man is partially submerged in a puddle on the floor, with papers scattered around him, looking bewildered and trying to pull himself out.","Apparently, I was mistaken. He’s not in over his head.",He was skating on thin ice for some time.,How soon can you start?
781,https://nextml.github.io/caption-contest-data/cartoons/781.jpg,"In a crowded room during a social gathering, a large cannon is prominently displayed in the center, with a woman emerging from its barrel. A man holding a wine glass stands nearby, speaking to the woman with a surprised expression. The floor around the cannon is cracked, indicating the cannon's heavy impact. Other guests are mingling in the background, seemingly unaware of the unusual scene.",I so rarely meet a person of your calibre.,Please text me to let me know you got home O.K.,Will I see you again?
782,https://nextml.github.io/caption-contest-data/cartoons/782.jpg,"A woman stands on a sidewalk looking mildly displeased as two mimes in classic striped shirts and berets aggressively perform exaggerated gestures in her face. One mime is pretending to be trapped in an invisible box, while the other is mimicking wiping tears from her face. A man stands nearby, observing the scene with a neutral expression. The setting is a simple urban street with a brick wall and a fire hydrant. The woman is speaking.",Just pretend to give them your wallet.,You had to insist on a quiet neighborhood.,"No, it is not better than being broken up with in a text."
783,https://nextml.github.io/caption-contest-data/cartoons/783.jpg,"In a therapist’s office setting with a cityscape view, a man in a suit sits in an armchair, speaking to a giant piece of broccoli with a human-like body reclining on a couch. The broccoli appears to be in a therapy session.",And how did being left on the plate make you feel?,Maybe it’s time for you to stop being so good for everyone else and just be good for yourself.,"So, tell me, do you get steamed easily?"
784,https://nextml.github.io/caption-contest-data/cartoons/784.jpg,"A man in a suit sits in an armchair, reading a book with a perplexed expression. Behind him, a large snake emerges from a shield mounted on the wall, curling around the chair and speaking to him. The room is furnished with a fireplace, logs, candles.",Mind if I read over your shoulder? I have trouble turning pages.,"Stuffed? No, actually I’m quite famished.",I also love to unwind.
785,https://nextml.github.io/caption-contest-data/cartoons/785.jpg,"In a Wild West scene, a cowboy on horseback approaches a saloon. Unusually, next to the horse tied up outside the saloon, there is a grand piano also tied up as if it were another horse. The cowboy looks towards the piano with a puzzled expression.",Looks like somebody needs to be taught a lesson.,"Come out with your hands up, wrists straight, fingers gently curved!",I thought this was an upright establishment.
786,https://nextml.github.io/caption-contest-data/cartoons/786.jpg,"In a high-rise office with a cityscape view, a man in a suit in a suit sits at a desk, holding a piece of paper and speaking to a man nervously seated across to the left of him. To the right of the man in the suit, a dog sits attentively on a chair, as if participating in the meeting. The man in the suit appears to be representing the dog, either as a lawyer or in a deal. The man in the suit is speaking to the other man.",My client is prepared to walk.,"He’ll negotiate, but he won’t beg.","He may be your best friend, but I am his lawyer."
787,https://nextml.github.io/caption-contest-data/cartoons/787.jpg,"In a bedroom, a woman is packing clothes into a suitcase while a man stands nearby holding a large club. The man is packing a giant stone wheel and a small campfire into his suitcase. The scene is set in a cozy, domestic environment with a dresser, bed, and framed pictures on the wall. The man appears to be speaking.",These should help me approach your father on his own level.,I’ve been packed for ages.,"If we forget anything, we can just invent it when we get there."
788,https://nextml.github.io/caption-contest-data/cartoons/788.jpg,"A person in a spacesuit stands in front of a full-length mirror in a tailor shop, with the word ""TAILOR"" visible in reverse on the window behind them. Next to the spacesuit-clad individual is a tailor, dressed in a suit and holding a measuring tape, who appears to be speaking.","""Ideal for parties with no atmosphere.""","""You're my fifth middle-school teacher this week.""","""I love that people are getting dressed up to fly again."""
789,https://nextml.github.io/caption-contest-data/cartoons/789.jpg,"In a living room, a man with large, detailed butterfly wings is hovering in mid-air, listening to a woman who is sitting on a couch, speaking to him with a surprised expression. The room has a staircase in the background and some framed pictures on the walls.",Do you have to come in here every time I turn on the light?,You know I can’t stand it when you hover.,You’re not the caterpillar I married.
790,https://nextml.github.io/caption-contest-data/cartoons/790.jpg,"A man in a suit is driving a bumper car on a regular road, looking confused and worried. Next to him, a woman driving a large pickup truck with a dog in the passenger seat is glancing at him with a surprised expression. The man in the bumper car is speaking, distressed.",The dealer said it scored high in crash tests.,I wanted a car that would make me feel young again.,My other car is a teacup.
791,https://nextml.github.io/caption-contest-data/cartoons/791.jpg,"Two dogs stand in front of an exaggeratedly tall giant doghouse that resembles a cathedral. The dog on the right is inside the doghouse, while the dog on the left is outside. The scene is set against a backdrop of a cityscape with buildings and bushes. The dog inside is speaking to the other.",It’s got an indoor tree.,Don’t you ever feel like they wanted a bigger dog?,I'm part Great Dane.
792,https://nextml.github.io/caption-contest-data/cartoons/792.jpg,"Two castaways in tattered clothes are stranded on a small deserted island with a grand piano. One is standing and reading from some reading a page, possibly sheet music, while the other sits at the piano. The ground is littered with empty bottles and more pages. Palm trees and bushes are in the background, and the island is surrounded by water. The man standing is speaking.","So far, it looks like no one is coming to the recital.",Most fans sympathize with our decision to eat the cellist.,"O.K., we have a catchy theme song. Now let’s work on food and shelter."
793,https://nextml.github.io/caption-contest-data/cartoons/793.jpg,"A large bear stands at a checkout counter, looking at the cashier who is placing a fish into a paper bag. The bear is speaking, while the cashier appears unfazed.",No bag. Just toss it in the air.	,"I thought you should know, someone left a big mess in the honey aisle.",It’s an appetizer. I’m having people for dinner tonight.
794,https://nextml.github.io/caption-contest-data/cartoons/794.jpg,"A group of aliens with large heads and black eyes, dressed in identical outfits and holding ray guns, are marching out of a spaceship. They are followed by a man in a suit carrying a briefcase. Two astonished onlookers, a man and a woman, stand nearby, watching the scene unfold. The setting appears to be a park with trees and buildings in the background. The onlooking woman is speaking.","Oh, no! They’re returning him.","I was expecting the invasion, but not the audit.",I think they want to settle.
795,https://nextml.github.io/caption-contest-data/cartoons/795.jpg,"A waiter in a formal outfit is serving a dish to a praying mantis sitting at a table. The dish, revealed under a cloche, contains a cooked praying mantis head with vegetables on the side. The praying mantis looks eagerly at the meal, while the waiter presents it with a professional demeanor. A glass of wine is also on the table. The waiter is speaking.",From the gentleman at the bar.,"Shall I serve your husband first, madame?",I believe you’re familiar with tonight’s entrée.
796,https://nextml.github.io/caption-contest-data/cartoons/796.jpg,"In an apartment room cluttered with bowling balls and pins scattered all over the floor, a woman holding a rolling pin faces a man holding two bowling balls. The scene suggests a chaotic and absurd situation, possibly a confrontation. The man is speaking.",Turns out they only check to see if you return the shoes.,The downstairs neighbors? What is it this time?,Or we could get a burglar alarm.
797,https://nextml.github.io/caption-contest-data/cartoons/797.jpg,"In a modern office setting, a person in full medieval knight armor sits at a desk, reading documents. A professionally dressed woman stands in front of the desk, holding a folder and a coffee cup, looking at the knight. I\The office has large windows with a cityscape view and framed pictures of castles on the walls.","We can all hear you snoring in there, Steve.",Your horse is in my parking spot again.,You clanked?
798,https://nextml.github.io/caption-contest-data/cartoons/798.jpg,"A person is fixing a car on a dark, deserted mountain road under a full moon. Nearby, a large, menacing bear-like creature with sharp teeth and glowing eyes lurks behind a rock, watching the person intently. The scene is eerie and suspenseful, with the creature appearing ready to pounce. The creature is speaking with a smile.","Don’t worry, you'll be running in no time.",That’s gonna cost you an arm and a leg.,"Good news, your car troubles are over."
799,https://nextml.github.io/caption-contest-data/cartoons/799.jpg,"A man and a cat are sitting on a couch, each holding a glass of wine. The man, dressed in casual clothes, appears to be engaged in conversation with the cat, which is sitting upright like a human. The man is speaking, smiling.","I thought you’d like to try it, instead of just knocking it off the counter.",I hope it pairs well with whatever you dragged in.,Are you ignoring anyone else?
800,https://nextml.github.io/caption-contest-data/cartoons/800.jpg,"In a bustling baseball stadium, an invisible player stands on the field, with his helmet floating above where his head should be. His glove is also floating beside his body, and a bat is propped up next to him. Two coaches in the dugout are watching the scene, seemingly in conversation. The crowd in the background is filled with enthusiastic fans holding signs and cheering. One coach is speaking to the other with a smile.",Now they’ll never know who’s on first.,How did they find this guy?,I don’t think you understand fantasy baseball.
801,https://nextml.github.io/caption-contest-data/cartoons/801.jpg,"A man enthusiastically leans over a chessboard, making a move while playing against the Grim Reaper. The Grim Reaper, cloaked in dark robes, has skeletal hands and appears to be contemplating the man’s move. The man is looking up at the Grim Reaper and speaking.",I thought you’d be better at the endgame.,"You can take my soul, but not before I take your queen.",I’ll remember this for the rest of my life.
802,https://nextml.github.io/caption-contest-data/cartoons/802.jpg,"Six construction workers are sitting on a steel beam high above a city, reminiscent of the famous ""Lunch atop a Skyscraper"" photo. A pizza delivery man, wearing a pizza-themed hat and shirt, is precariously standing on the beam, handing a pizza box to one of the workers. The delivery man is speaking.",We usually don’t deliver above Eighty-second Street.,"Actually, I’d rather you not tip me.",This pizza’s on me if you never order from us again.
803,https://nextml.github.io/caption-contest-data/cartoons/803.jpg,"In a greyscale cartoon, two men in suits stand in a car dealership lot, surrounded by various cars. One man is holding a clipboard and enthusiastically gesturing towards a small, toy-like bright red and yellow car, while the other man looks on with a skeptical expression, arms crossed. The scene is set under a canopy with decorative flags hanging above. The salesman is speaking.","O.K., I’ll grab some crayons and get started on the paperwork.",Your decision. I’m not going to push you.,"This one is great, but your kids will want to borrow it all the time."
804,https://nextml.github.io/caption-contest-data/cartoons/804.jpg,"A woman sits on a couch holding a glass of wine, looking at a man who is on all fours on the floor. On the man's back, a dog stands, and on the dog's back, a cat stands. At the top of this animal stack, a fishbowl with a fish inside is balanced on the cat's back. The stack appears to be wobbling, while the man speaks to the woman.",You really want to add a kid to all this?,"See, I do things around the house.",I don’t usually do this on a first date.
805,https://nextml.github.io/caption-contest-data/cartoons/805.jpg,"In a therapist's office, a colossal ape sits next to a woman on a couch across from the therapist. The ape is so large, its head is obscured, breaking through the ceiling. The therapist is explaining something to the woman and ape, seemingly unfazed by the enormous creature dominating the room.",I think he's been seeing the woman upstairs.,Let's end here. I know you have a plane to catch.,"He’s shown growth, but can he evolve?"
806,https://nextml.github.io/caption-contest-data/cartoons/806.jpg,"On a beach, a knight in full armor sits on a lifeguard chair holding a spear, while a modern lifeguard in a swimsuit and sunglasses sits on another lifeguard chair nearby. Between them is a large, elaborate sandcastle with a moat. The knight is speaking.",Don’t you hate it when sand gets in your suit?,Could you put polish on my back?,I'll cover the moat if you cover the ocean.
807,https://nextml.github.io/caption-contest-data/cartoons/807.jpg,"Two scientists in lab coats are observing a rat navigating a complex hedge maze made of corn plants. One scientist is holding a clipboard and appears to be making notes, while the other looks on. In the background, there are cages with various animals. The rat is at the entrance of the maze, seemingly starting its journey. The scientist with the clipboard is speaking.",The hardest part was teaching him to use the hedge trimmers.,The real scientific breakthrough was developing tiny corn.,It’s how we tell the city mice from the country mice.
808,https://nextml.github.io/caption-contest-data/cartoons/808.jpg,"In the vastness of outer space, two aliens in a classic flying saucer encounter another pair of aliens driving a floating RV. The scene is set against a backdrop of stars, with the aliens in the RV speaking to aliens in the saucer.",We thought we’d try a flying object they could identify.,We can comfortably abduct a family of four.,You miss so much at light speed.
